Offset Credits Cost Adjustment,Emission Reduction Cost Adjustment,Reforestation Cost Adjustment,T15Year,T15CO2,T15ForestSize,T20Year,T20CO2,T20ForestSize,ForestSize2050,CO2Concentration2050,Temperature2050,ForestSize2100,CO2Concentration2100,Temperature2100
1.0,0.5,0.9,2031.0,443.01693,39877528.8071,2049.0,483.01049,39100357.42163,39035851.99927,485.57611,2.03063,37179517.54558,456.80963,1.67927
1.0,1.0,0.3,2031.0,443.01388,42939461.38422,2047.0,483.00058,48345103.90082,49808349.41401,490.64874,2.09089,81572043.66419,499.86029,2.19902
1.0,0.6,0.95,2031.0,443.01627,40113598.23279,2049.0,483.01141,39993671.57737,40002217.65819,485.47586,2.02944,41412670.91367,455.76804,1.66612
1.0,0.25,0.6,2031.0,443.01698,39806253.80441,2049.0,483.01073,38909561.63365,38832841.58993,485.6514,2.03153,36643798.35232,457.05025,1.68231
1.0,0.1,0.85,2031.0,443.01698,39806253.80441,2049.0,483.01073,38909561.63365,38832841.58993,485.6514,2.03153,36643798.35232,457.05025,1.68231
1.0,0.65,0.95,2031.0,443.01753,40469007.14488,2049.0,483.01128,40964015.15819,41012994.50041,485.40592,2.0286,44027157.16396,455.94245,1.66832
1.0,0.1,0.2,2031.0,443.01698,39806253.80441,2049.0,483.01073,38909561.63365,38832841.58993,485.6514,2.03153,36643798.35232,457.05025,1.68231
1.0,0.7,0.25,2031.0,443.01588,42632134.4031,2050.0,483.01488,48031534.14729,48286726.11045,484.19191,2.01408,74491591.88587,448.91305,1.57892
1.0,1.0,0.4,2031.0,443.01582,42805295.38484,2048.0,483.00766,48216321.2381,49053891.81355,487.11023,2.04892,78100060.09564,484.88086,2.02319
1.0,0.05,0.7,2031.0,443.01698,39806253.80441,2049.0,483.01073,38909561.63365,38832841.58993,485.6514,2.03153,36643798.35232,457.05025,1.68231
1.0,0.45,0.05,2031.0,443.01606,43200511.67119,2047.0,483.00151,49206936.59539,50618037.32837,489.50866,2.0774,85307830.0998,506.496,2.27506
